"P1","P2","P3","P4","Hypothesis","GoldLabel"
"Child in blue shirt propped on a white pillow.","Child in blue shirt wrapped with ace bandage.","Child in blue shirt left arm.","Child in blue shirt with eye closed .","Child laughed when he got injured.","contradiction"
"A brown dog is looking at the camera.","A black dog is looking at the camera.","A brown dog is walking in the water.","A black dog is walking in the water.","Two dogs are eating steak together.","contradiction"
"the black dog are fighting .","the brown dog are fighting .","The black cat are fighting .","The yellow cat are fighting .","two animals are fighting","entailment"
"the other man holding a drill.","the other man is wearing a black shirt.","one man is wearing a white shirt.","Two men work on a metal roof in the sunlight.","Two women are working on a roof.","contradiction"
"A young boy with skin leaning out of a window of a white bus with orange stripes.","A young boy with skin leaning out of a window of a white bus with green stripes.","dark hair leaning out of a window of a white bus with orange stripes.","dark hair leaning out of a window of a white bus with green stripes.","A boy is waving at others cars as they pass the bus.","neutral"
"a young boy taking a break from riding a bike.","a young boy are outside.","A man taking a break from riding a bike.","A man are outside.","The people are sweeping the floor.","contradiction"
"A man with white shorts is walking near a man with a black pants down a busy street.","A man with white shorts is walking near a man with a white shirt down a busy street.","A man with a red shirt is walking near a man with a black pants down a busy street.","A man with a red shirt is walking near a man with a white shirt down a busy street.","A woman serves beer in a bar.","contradiction"
"headscarf is carrying a walking between large piles of white sand.","A dark - skinned girl in a white dress is carrying a walking between large piles of white sand.","headscarf is carrying a green bucket.","A dark - skinned girl in a white dress is carrying a green bucket.","The girl is wearing shoes.","neutral"
"A man with Nike shoes is sitting on some sort of public transportation.","A man with Nike shorts is sitting on some sort of public transportation.","A man with Nike shirt is sitting on some sort of public transportation.","A man with a Nike hat is sitting on some sort of public transportation.","The man is standing at an elevator.","contradiction"
"A fair - skinned woman with dark hair wears a pair of a white plaid shirt.","A fair - skinned woman with dark hair wears a pair of a red plaid shirt.","A fair - skinned woman with dark hair wears a pair of crimson lipstick.","A fair - skinned woman with dark hair wears a pair of large dark sunglasses.","A man has light hair","contradiction"
"A man in white hat holding a bag in his hands.","A man in white hat holding a brush.","a white shirt holding a bag in his hands.","a white shirt holding a brush.","A man in the nude is holding a baseball bat.","contradiction"
"the lead guitarist wearing the lead singer in a black jeans with the bass player in the background.","the lead guitarist wearing the lead singer in a black shirt.","the lead guitarist wearing white striped pants.","A rock band playing on stage.","The band is is an R&B group","contradiction"
"There is a man with blue dress coat.","a man with blue dress coat playing an accordion in front of a sign.","There is a man with a fedora hat.","a fedora hat playing an accordion in front of a sign.","A man performs for tips","neutral"
"dark - haired girl are making crafts out of toilet paper rolls.","dark - haired girl are making crafts out of paper plates.","The older lady are making crafts out of toilet paper rolls.","The older lady are making crafts out of paper plates.","A grandmother and her granddaughter craft together.","neutral"
"a child are walking past a building.","a child are walking past a tree.","A woman are walking past a building.","A woman are walking past a tree.","A woman and a child are running away from angry dogs.","contradiction"
"staff sit on the paint in a recreation center.","Children sit on the paint in a recreation center.","staff sit on the floor in a recreation center.","Children sit on the floor in a recreation center.","The children are planting seeds in the garden with the adults.","contradiction"
"Two kids in green coats are swinging on a tire.","Two kids in blue coats are swinging on a tire.","a tire swing out in the snow.","Two kids in snow hats are swinging on a tire.","Nobody has a hat","contradiction"
"a man in a striped shirt are drinking out of their own making strange faces.","A man in a straw hat are each drinking out of their own making strange faces.","a man in a striped shirt are drinking out of their own styrofoam cups.","A man in a straw hat are each drinking out of their own styrofoam cups.","The men are sipping from wine glasses.","contradiction"
"A man in jeans to be working on some piping system.","A man in jeans appears .","A man in a black shirt to be working on some piping system.","A man in a black shirt appears .","A man using a barbecue grill.","contradiction"
"A man in pants walks across an athletic field.","A man in beige walks across an athletic field.","A man in blue shirt walks across an athletic field.","A man in sunglasses walks across an athletic field.","A woman is getting a pedicure.","contradiction"
"a tractor are behind concrete chunks of broken concrete.","a tractor are behind concrete barricades of broken concrete.","Workmen are behind concrete chunks of broken concrete.","Workmen are behind concrete barricades of broken concrete.","Workmen are a tractor are in a open-field.","contradiction"
"A white dog stands on his barks.","A white dog stands on his hind leg.","A brown dog stands on his barks.","A brown dog stands on his hind leg.","The dog is scared","neutral"
"a canal lined with white homes.","a canal lined with orange homes.","a canal lined with red homes.","A blue boat moves down a canal.","a sailboat sinks.","contradiction"
"Two girls , on in the other in yellow play soccer.","Two girls , on in the other in blue play soccer.","Two girls , on in black play soccer.","Two girls , on in red play soccer.","Some girls with black hair are playing soccer.","neutral"
"A group of young children watching a woman in a white t - shirt.","young children watching a woman in brown shorts.","A group of young children are gathered together.","young children wearing backpacks.","a bunch of kids watch the girl, who is their sister","neutral"
"a pool dressed for a swim competition in swim caps.","a pool dressed for a swim competition in goggles.","a pool dressed for a swim competition in swimsuits.","Three women wait on the edge of a pool.","A group of women prepare for a swim competition","entailment"
"A man with a black shirt is drinking a beer outside.","A man with a black hat is drinking a beer outside.","A man with a black shirt is talking on a cellphone.","A man with a black hat is talking on a cellphone.","The man is watching TV in the living room","contradiction"
"Square dancers decked out in white square-dance attire circle around on a tiled patio with palm trees in the background.","Square dancers decked out in white square-dance attire circle around on a tiled patio with arches in the background.","Square dancers decked out in green square-dance attire circle around on a tiled patio with palm trees in the background.","Square dancers decked out in green square-dance attire circle around on a tiled patio with arches in the background.","Dancers dancing","entailment"
"SCUBA gear standing on some rocks.","SCUBA gear is over bent.","A man in a wetsuit standing on some rocks.","A man in a wetsuit is over bent.","A man is looking at something in the water.","neutral"
"A woman with spandex walks past a couple.","A woman with a green dress walks past a couple.","A woman with a tattoo walks past a couple.","A woman with a yellow backpack walks past a couple.","The woman is wearing clothing.","entailment"
"Two sitting in front of a blue picket fence on the side of a street.","Two young sitting in front of a green picket fence on the side of a street.","Two sitting in front of a red picket fence on the side of a street.","Two young girls in purple tops smiling .","A girl sits on top of a fence.","entailment"
"A motorbike racing sitting on a green motorbike.","A motorbike racing sitting on a blue motorbike.","A motorbike racing sitting on a pink motorbike.","A motorbike racing sitting on a white motorbike.","The racer is losing.","neutral"
"A woman in a tan jacket has just putted a golf ball.","A woman in a black jacket has just putted a golf ball.","A woman in red pants has just putted a golf ball.","A woman in tan hat has just putted a golf ball.","The woman is a professional golfer.","neutral"
"Square dancers decked out in white square-dance attire circle around on a tiled patio with palm trees in the background.","Square dancers decked out in white square-dance attire circle around on a tiled patio with arches in the background.","Square dancers decked out in green square-dance attire circle around on a tiled patio with palm trees in the background.","Square dancers decked out in green square-dance attire circle around on a tiled patio with arches in the background.","a man sleeps on the ground","contradiction"
